startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2016-03-12T00:30:00Z","2016-03-12T01:00:00Z",,,,,,,,1,,,
"2016-03-12T01:00:00Z","2016-03-12T01:30:00Z",,,,,,,,1,,,
"2016-03-12T01:30:00Z","2016-03-12T02:00:00Z",,,,,,,,1,,,
"2016-03-12T02:00:00Z","2016-03-12T02:30:00Z",,,,,,,,1,,,
"2016-03-12T02:30:00Z","2016-03-12T03:00:00Z",,,,,,,,1,,,
"2016-03-12T03:00:00Z","2016-03-12T03:30:00Z",,,,,,,,1,,,
"2016-03-12T03:30:00Z","2016-03-12T04:00:00Z",,,,,,,,1,,,
"2016-03-12T04:00:00Z","2016-03-12T04:30:00Z",,,,,,,,1,,,
"2016-03-12T04:30:00Z","2016-03-12T05:00:00Z",,,,,,,,1,,,
"2016-03-12T05:00:00Z","2016-03-12T05:30:00Z",,,,,,,,1,,,
"2016-03-12T05:30:00Z","2016-03-12T06:00:00Z",,,,,,,,1,,,
"2016-03-12T06:00:00Z","2016-03-12T06:30:00Z",,,,,,,,1,,,
"2016-03-12T06:30:00Z","2016-03-12T07:00:00Z",,,,,,,,1,,,
"2016-03-12T07:00:00Z","2016-03-12T07:30:00Z",,,,,,,,1,,,
"2016-03-12T07:30:00Z","2016-03-12T08:00:00Z",,,,,,,,1,,,
"2016-03-12T08:00:00Z","2016-03-12T08:30:00Z",,,,,,,,1,,,
"2016-03-12T08:30:00Z","2016-03-12T09:00:00Z",,,,,,,,1,,,
"2016-03-12T09:00:00Z","2016-03-12T09:30:00Z",,,,,,,,1,,,
"2016-03-12T09:30:00Z","2016-03-12T10:00:00Z",,,,,,,,1,,,
"2016-03-12T10:00:00Z","2016-03-12T10:30:00Z",,,,,,,,1,,,
"2016-03-12T10:30:00Z","2016-03-12T11:00:00Z",,,,,,,,1,,,
"2016-03-12T11:00:00Z","2016-03-12T11:30:00Z",,,,,,,,1,,,
"2016-03-12T11:30:00Z","2016-03-12T12:00:00Z",,,,,,,,1,,,
"2016-03-12T12:00:00Z","2016-03-12T12:30:00Z",,,,,,,,1,,,
"2016-03-12T12:30:00Z","2016-03-12T13:00:00Z",,,,,,,,1,,,
"2016-03-12T13:00:00Z","2016-03-12T13:30:00Z",,,,,,,,1,,,
"2016-03-12T13:30:00Z","2016-03-12T14:00:00Z",,,,,,,,1,,,
"2016-03-12T14:00:00Z","2016-03-12T14:30:00Z",,,,,,,,1,,,
"2016-03-12T14:30:00Z","2016-03-12T15:00:00Z",,,,,,,,1,,,
"2016-03-12T15:00:00Z","2016-03-12T15:30:00Z",,,,,,,,1,,,
"2016-03-12T15:30:00Z","2016-03-12T16:00:00Z",,,,,,,,1,,,
"2016-03-12T16:00:00Z","2016-03-12T16:30:00Z",,,,,,,,1,,,
"2016-03-12T16:30:00Z","2016-03-12T17:00:00Z",,,,,,,,1,,,
"2016-03-12T17:00:00Z","2016-03-12T17:30:00Z",,,,,,,,1,,,
"2016-03-12T17:30:00Z","2016-03-12T18:00:00Z",,,,,,,,1,,,
"2016-03-12T18:00:00Z","2016-03-12T18:30:00Z",,,,,,,,1,,,
"2016-03-12T18:30:00Z","2016-03-12T19:00:00Z",,,,,,,,1,,,
"2016-03-12T19:00:00Z","2016-03-12T19:30:00Z",,,,,,,,1,,,
"2016-03-12T19:30:00Z","2016-03-12T20:00:00Z",,,,,,,,1,,,
"2016-03-12T20:00:00Z","2016-03-12T20:30:00Z",,,,,,,,1,,,
"2016-03-12T20:30:00Z","2016-03-12T21:00:00Z",,,,,,,,1,,,
"2016-03-12T21:00:00Z","2016-03-12T21:30:00Z",,,,,,,,1,,,
"2016-03-12T21:30:00Z","2016-03-12T22:00:00Z",,,,,,,,1,,,
"2016-03-12T22:00:00Z","2016-03-12T22:30:00Z",,,,,,,,1,,,
"2016-03-12T22:30:00Z","2016-03-12T23:00:00Z",,,,,,,,1,,,
"2016-03-12T23:00:00Z","2016-03-12T23:30:00Z",,,,,,,,1,,,
"2016-03-12T23:30:00Z","2016-03-13T00:00:00Z",,,,,,,,1,,,
"2016-03-13T00:00:00Z","2016-03-13T00:30:00Z",,,,,,,,1,,,
"2016-03-13T00:30:00Z","2016-03-13T01:00:00Z",,,,,,,,1,,,
"2016-03-13T01:00:00Z","2016-03-13T01:30:00Z",,,,,,,,1,,,
"2016-03-13T01:30:00Z","2016-03-13T02:00:00Z",,,,,,,,1,,,
"2016-03-13T02:00:00Z","2016-03-13T02:30:00Z",,,,,,,,1,,,
"2016-03-13T02:30:00Z","2016-03-13T03:00:00Z",,,,,,,,1,,,
"2016-03-13T03:00:00Z","2016-03-13T03:30:00Z",,,,,,,,1,,,
"2016-03-13T03:30:00Z","2016-03-13T04:00:00Z",,,,,,,,1,,,
"2016-03-13T04:00:00Z","2016-03-13T04:30:00Z",,,,,,,,1,,,
"2016-03-13T04:30:00Z","2016-03-13T05:00:00Z",,,,,,,,1,,,
"2016-03-13T05:00:00Z","2016-03-13T05:30:00Z",,,,,,,,1,,,
"2016-03-13T05:30:00Z","2016-03-13T06:00:00Z",,,,,,,,1,,,
"2016-03-13T06:00:00Z","2016-03-13T06:30:00Z",,,,,,,,1,,,
"2016-03-13T06:30:00Z","2016-03-13T07:00:00Z",,,,,,,,1,,,
"2016-03-13T07:00:00Z","2016-03-13T07:30:00Z",,,,,,,,1,,,
"2016-03-13T07:30:00Z","2016-03-13T08:00:00Z",,,,,,,,1,,,
"2016-03-13T08:00:00Z","2016-03-13T08:30:00Z",,,,,,,,1,,,
"2016-03-13T08:30:00Z","2016-03-13T09:00:00Z",,,,,,,,1,,,
"2016-03-13T09:00:00Z","2016-03-13T09:30:00Z",,,,,,,,1,,,
"2016-03-13T09:30:00Z","2016-03-13T10:00:00Z",,,,,,,,1,,,
"2016-03-13T10:00:00Z","2016-03-13T10:30:00Z",,,,,,,,1,,,
"2016-03-13T10:30:00Z","2016-03-13T11:00:00Z",,,,,,,,1,,,
"2016-03-13T11:00:00Z","2016-03-13T11:30:00Z",,,,,,,,1,,,
"2016-03-13T11:30:00Z","2016-03-13T12:00:00Z",,,,,,,,1,,,
"2016-03-13T12:00:00Z","2016-03-13T12:30:00Z",,,,,,,,1,,,
"2016-03-13T12:30:00Z","2016-03-13T13:00:00Z",,,,,,,,1,,,
"2016-03-13T13:00:00Z","2016-03-13T13:30:00Z",,,,,,,,1,,,
"2016-03-13T13:30:00Z","2016-03-13T14:00:00Z",,,,,,,,1,,,
"2016-03-13T14:00:00Z","2016-03-13T14:30:00Z",,,,,,,,1,,,
"2016-03-13T14:30:00Z","2016-03-13T15:00:00Z",,,,,,,,1,,,
"2016-03-13T15:00:00Z","2016-03-13T15:30:00Z",,,,,,,,1,,,
"2016-03-13T15:30:00Z","2016-03-13T16:00:00Z",,,,,,,,1,,,
"2016-03-13T16:00:00Z","2016-03-13T16:30:00Z",,,,,,,,1,,,
"2016-03-13T16:30:00Z","2016-03-13T17:00:00Z",,,,,,,,1,,,
"2016-03-13T17:00:00Z","2016-03-13T17:30:00Z",,,,,,,,1,,,
"2016-03-13T17:30:00Z","2016-03-13T18:00:00Z",,,,,,,,1,,,
"2016-03-13T18:00:00Z","2016-03-13T18:30:00Z",,,,,,,,1,,,
"2016-03-13T18:30:00Z","2016-03-13T19:00:00Z",,,,,,,,1,,,
"2016-03-13T19:00:00Z","2016-03-13T19:30:00Z",,,,,,,,1,,,
"2016-03-13T19:30:00Z","2016-03-13T20:00:00Z",,,,,,,,1,,,
"2016-03-13T20:00:00Z","2016-03-13T20:30:00Z",,,,,,,,1,,,
"2016-03-13T20:30:00Z","2016-03-13T21:00:00Z",,,,,,,,1,,,
"2016-03-13T21:00:00Z","2016-03-13T21:30:00Z",,,,,,,,1,,,
"2016-03-13T21:30:00Z","2016-03-13T22:00:00Z",,,,,,,,1,,,
"2016-03-13T22:00:00Z","2016-03-13T22:30:00Z",,,,,,,,1,,,
"2016-03-13T22:30:00Z","2016-03-13T23:00:00Z",,,,,,,,1,,,
"2016-03-13T23:00:00Z","2016-03-13T23:30:00Z",,,,,,,,1,,,
"2016-03-13T23:30:00Z","2016-03-14T00:00:00Z",,,,,,,,1,,,
"2016-03-14T00:00:00Z","2016-03-14T00:30:00Z",,,,,,,,1,,,
"2016-03-14T00:30:00Z","2016-03-14T01:00:00Z",,,,,,,,1,,,
"2016-03-14T01:00:00Z","2016-03-14T01:30:00Z",,,,,,,,1,,,
"2016-03-14T01:30:00Z","2016-03-14T02:00:00Z",,,,,,,,1,,,
"2016-03-14T02:00:00Z","2016-03-14T02:30:00Z",,,,,,,,1,,,
"2016-03-14T02:30:00Z","2016-03-14T03:00:00Z",,,,,,,,1,,,
"2016-03-14T03:00:00Z","2016-03-14T03:30:00Z",,,,,,,,1,,,
"2016-03-14T03:30:00Z","2016-03-14T04:00:00Z",,,,,,,,1,,,
"2016-03-14T04:00:00Z","2016-03-14T04:30:00Z",,,,,,,,1,,,
"2016-03-14T04:30:00Z","2016-03-14T05:00:00Z",,,,,,,,1,,,
"2016-03-14T05:00:00Z","2016-03-14T05:30:00Z",,,,,,,,1,,,
"2016-03-14T05:30:00Z","2016-03-14T06:00:00Z",,,,,,,,1,,,
"2016-03-14T06:00:00Z","2016-03-14T06:30:00Z",,,,,,,,1,,,
"2016-03-14T06:30:00Z","2016-03-14T07:00:00Z",,,,,,,,1,,,
"2016-03-14T07:00:00Z","2016-03-14T07:30:00Z",,,,,,,,1,,,
"2016-03-14T07:30:00Z","2016-03-14T08:00:00Z",,,,,,,,1,,,
"2016-03-14T08:00:00Z","2016-03-14T08:30:00Z",,,,,,,,1,,,
"2016-03-14T08:30:00Z","2016-03-14T09:00:00Z",,,,,,,,1,,,
"2016-03-14T09:00:00Z","2016-03-14T09:30:00Z",,,,,,,,1,,,
"2016-03-14T09:30:00Z","2016-03-14T10:00:00Z",,,,,,,,1,,,
"2016-03-14T10:00:00Z","2016-03-14T10:30:00Z",,,,,,,,1,,,
"2016-03-14T10:30:00Z","2016-03-14T11:00:00Z",,,,,,,,1,,,
"2016-03-14T11:00:00Z","2016-03-14T11:30:00Z",,,,,,,,1,,,
"2016-03-14T11:30:00Z","2016-03-14T12:00:00Z",,,,,,,,1,,,
"2016-03-14T12:00:00Z","2016-03-14T12:30:00Z",,,,,,,,1,,,
"2016-03-14T12:30:00Z","2016-03-14T13:00:00Z",,,,,,,,1,,,
"2016-03-14T13:00:00Z","2016-03-14T13:30:00Z",,,,,,,,1,,,
"2016-03-14T13:30:00Z","2016-03-14T14:00:00Z",,,,,,,,,,,
"2016-03-14T14:00:00Z","2016-03-14T14:30:00Z",,,,,,,,1,,,
"2016-03-14T14:30:00Z","2016-03-14T15:00:00Z",,,,,,,,1,,,
"2016-03-14T15:00:00Z","2016-03-14T15:30:00Z",,,,,,,,1,,,
"2016-03-14T15:30:00Z","2016-03-14T16:00:00Z",,,,,,,,1,,,
"2016-03-14T16:00:00Z","2016-03-14T16:30:00Z",,,,,,,,1,,,
"2016-03-14T16:30:00Z","2016-03-14T17:00:00Z",,,,,,,,1,,,
"2016-03-14T17:00:00Z","2016-03-14T17:30:00Z",,,,,,,,1,,,
"2016-03-14T17:30:00Z","2016-03-14T18:00:00Z",,,,,,,,1,,,
"2016-03-14T18:00:00Z","2016-03-14T18:30:00Z",,,,,,,,1,,,
"2016-03-14T18:30:00Z","2016-03-14T19:00:00Z",,,,,,,,1,,,
"2016-03-14T19:00:00Z","2016-03-14T19:30:00Z",,,,,,,,1,,,
"2016-03-14T19:30:00Z","2016-03-14T20:00:00Z",,,,,,,,1,,,
"2016-03-14T20:00:00Z","2016-03-14T20:30:00Z",,,,,,,,1,,,
"2016-03-14T20:30:00Z","2016-03-14T21:00:00Z",,,,,,,,1,,,
"2016-03-14T21:00:00Z","2016-03-14T21:30:00Z",,,,,,,,1,,,
"2016-03-14T21:30:00Z","2016-03-14T22:00:00Z",,,,,,,,1,,,
"2016-03-14T22:00:00Z","2016-03-14T22:30:00Z",,,,,,,,1,,,
"2016-03-14T22:30:00Z","2016-03-14T23:00:00Z",,,,,,,,1,,,
"2016-03-14T23:00:00Z","2016-03-14T23:30:00Z",,,,,,,,1,,,
"2016-03-14T23:30:00Z","2016-03-15T00:00:00Z",,,,,,,,1,,,
"2016-03-15T00:00:00Z","2016-03-15T00:30:00Z",,,,,,,,1,,,
"2016-03-15T00:30:00Z","2016-03-15T01:00:00Z",,,,,,,,,,,
"2016-03-15T01:00:00Z","2016-03-15T01:30:00Z",,,,,,,,1,,,
"2016-03-15T01:30:00Z","2016-03-15T02:00:00Z",,,,,,,,1,,,
"2016-03-15T02:00:00Z","2016-03-15T02:30:00Z",,,,,,,,1,,,
"2016-03-15T02:30:00Z","2016-03-15T03:00:00Z",,,,,,,,1,,,
"2016-03-15T03:00:00Z","2016-03-15T03:30:00Z",,,,,,,,1,,,
"2016-03-15T03:30:00Z","2016-03-15T04:00:00Z",,,,,,,,1,,,
"2016-03-15T04:00:00Z","2016-03-15T04:30:00Z",,,,,,,,1,,,
"2016-03-15T04:30:00Z","2016-03-15T05:00:00Z",,,,,,,,1,,,
"2016-03-15T05:00:00Z","2016-03-15T05:30:00Z",,,,,,,,1,,,
"2016-03-15T05:30:00Z","2016-03-15T06:00:00Z",,,,,,,,1,,,
"2016-03-15T06:00:00Z","2016-03-15T06:30:00Z",,,,,,,,1,,,
"2016-03-15T06:30:00Z","2016-03-15T07:00:00Z",,,,,,,,1,,,
"2016-03-15T07:00:00Z","2016-03-15T07:30:00Z",,,,,,,,1,,,
"2016-03-15T07:30:00Z","2016-03-15T08:00:00Z",,,,,,,,1,,,
"2016-03-15T08:00:00Z","2016-03-15T08:30:00Z",,,,,,,,1,,,
"2016-03-15T08:30:00Z","2016-03-15T09:00:00Z",,,,,,,,1,,,
"2016-03-15T09:00:00Z","2016-03-15T09:30:00Z",,,,,,,,1,,,
"2016-03-15T09:30:00Z","2016-03-15T10:00:00Z",,,,,,,,1,,,
"2016-03-15T10:00:00Z","2016-03-15T10:30:00Z",,,,,,,,1,,,
"2016-03-15T10:30:00Z","2016-03-15T11:00:00Z",,,,,,,,1,,,
"2016-03-15T11:00:00Z","2016-03-15T11:30:00Z",,,,,,,,1,,,
"2016-03-15T11:30:00Z","2016-03-15T12:00:00Z",,,,,,,,1,,,
"2016-03-15T12:00:00Z","2016-03-15T12:30:00Z",,,,,,,,1,,,
"2016-03-15T12:30:00Z","2016-03-15T13:00:00Z",,,,,,,,1,,,
"2016-03-15T13:00:00Z","2016-03-15T13:30:00Z",,,,,,,,1,,,
"2016-03-15T13:30:00Z","2016-03-15T14:00:00Z",,,,,,,,1,,,
"2016-03-15T14:00:00Z","2016-03-15T14:30:00Z",,,,,,,,1,,,
"2016-03-15T14:30:00Z","2016-03-15T15:00:00Z",,,,,,,,1,,,
"2016-03-15T15:00:00Z","2016-03-15T15:30:00Z",,,,,,,,1,,,
"2016-03-15T15:30:00Z","2016-03-15T16:00:00Z",,,,,,,,1,,,
"2016-03-15T16:00:00Z","2016-03-15T16:30:00Z",,,,,,,,1,,,
"2016-03-15T16:30:00Z","2016-03-15T17:00:00Z",,,,,,,,1,,,
"2016-03-15T17:00:00Z","2016-03-15T17:30:00Z",,,,,,,,1,,,
"2016-03-15T17:30:00Z","2016-03-15T18:00:00Z",,,,,,,,1,,,
"2016-03-15T18:00:00Z","2016-03-15T18:30:00Z",,,,,,,,1,,,
"2016-03-15T18:30:00Z","2016-03-15T19:00:00Z",,,,,,,,1,,,
"2016-03-15T19:00:00Z","2016-03-15T19:30:00Z",,,,,,,,1,,,
"2016-03-15T19:30:00Z","2016-03-15T20:00:00Z",,,,,,,,1,,,
"2016-03-15T20:00:00Z","2016-03-15T20:30:00Z",,,,,,,,1,,,
"2016-03-15T20:30:00Z","2016-03-15T21:00:00Z",,,,,,,,1,,,
"2016-03-15T21:00:00Z","2016-03-15T21:30:00Z",,,,,,,,1,,,
"2016-03-15T21:30:00Z","2016-03-15T22:00:00Z",,,,,,,,1,,,
"2016-03-15T22:00:00Z","2016-03-15T22:30:00Z",,,,,,,,1,,,
"2016-03-15T22:30:00Z","2016-03-15T23:00:00Z",,,,,,,,1,,,
"2016-03-15T23:00:00Z","2016-03-15T23:30:00Z",,,,,,,,1,,,
"2016-03-15T23:30:00Z","2016-03-16T00:00:00Z",,,,,,,,1,,,
"2016-03-16T00:00:00Z","2016-03-16T00:30:00Z",,,,,,,,1,,,
"2016-03-16T00:30:00Z","2016-03-16T01:00:00Z",,,,,,,,1,,,
"2016-03-16T01:00:00Z","2016-03-16T01:30:00Z",,,,,,,,1,,,
"2016-03-16T01:30:00Z","2016-03-16T02:00:00Z",,,,,,,,1,,,
"2016-03-16T02:00:00Z","2016-03-16T02:30:00Z",,,,,,,,1,,,
"2016-03-16T02:30:00Z","2016-03-16T03:00:00Z",,,,,,,,1,,,
"2016-03-16T03:00:00Z","2016-03-16T03:30:00Z",,,,,,,,1,,,
"2016-03-16T03:30:00Z","2016-03-16T04:00:00Z",,,,,,,,1,,,
"2016-03-16T04:00:00Z","2016-03-16T04:30:00Z",,,,,,,,1,,,
"2016-03-16T04:30:00Z","2016-03-16T05:00:00Z",,,,,,,,1,,,
"2016-03-16T05:00:00Z","2016-03-16T05:30:00Z",,,,,,,,1,,,
"2016-03-16T05:30:00Z","2016-03-16T06:00:00Z",,,,,,,,1,,,
"2016-03-16T06:00:00Z","2016-03-16T06:30:00Z",,,,,,,,1,,,
"2016-03-16T06:30:00Z","2016-03-16T07:00:00Z",,,,,,,,1,,,
"2016-03-16T07:00:00Z","2016-03-16T07:30:00Z",,,,,,,,1,,,
"2016-03-16T07:30:00Z","2016-03-16T08:00:00Z",,,,,,,,1,,,
"2016-03-16T08:00:00Z","2016-03-16T08:30:00Z",,,,,,,,,,,
"2016-03-16T08:30:00Z","2016-03-16T09:00:00Z",,,,,,,,1,,,
"2016-03-16T09:00:00Z","2016-03-16T09:30:00Z",,,,,,,,1,,,
"2016-03-16T09:30:00Z","2016-03-16T10:00:00Z",,,,,,,,1,,,
"2016-03-16T10:00:00Z","2016-03-16T10:30:00Z",,,,,,,,1,,,
"2016-03-16T10:30:00Z","2016-03-16T11:00:00Z",,,,,,,,1,,,
"2016-03-16T11:00:00Z","2016-03-16T11:30:00Z",,,,,,,,1,,,
"2016-03-16T11:30:00Z","2016-03-16T12:00:00Z",,,,,,,,1,,,
"2016-03-16T12:00:00Z","2016-03-16T12:30:00Z",,,,,,,,1,,,
"2016-03-16T12:30:00Z","2016-03-16T13:00:00Z",,,,,,,,1,,,
"2016-03-16T13:00:00Z","2016-03-16T13:30:00Z",,,,,,,,1,,,
"2016-03-16T13:30:00Z","2016-03-16T14:00:00Z",,,,,,,,1,,,
"2016-03-16T14:00:00Z","2016-03-16T14:30:00Z",,,,,,,,1,,,
"2016-03-16T14:30:00Z","2016-03-16T15:00:00Z",,,,,,,,1,,,
"2016-03-16T15:00:00Z","2016-03-16T15:30:00Z",,,,,,,,1,,,
"2016-03-16T15:30:00Z","2016-03-16T16:00:00Z",,,,,,,,1,,,
"2016-03-16T16:00:00Z","2016-03-16T16:30:00Z",,,,,,,,1,,,
"2016-03-16T16:30:00Z","2016-03-16T17:00:00Z",,,,,,,,1,,,
"2016-03-16T17:00:00Z","2016-03-16T17:30:00Z",,,,,,,,1,,,
"2016-03-16T17:30:00Z","2016-03-16T18:00:00Z",,,,,,,,1,,,
"2016-03-16T18:00:00Z","2016-03-16T18:30:00Z",,,,,,,,1,,,
"2016-03-16T18:30:00Z","2016-03-16T19:00:00Z",,,,,,,,1,,,
"2016-03-16T19:00:00Z","2016-03-16T19:30:00Z",,,,,,,,1,,,
"2016-03-16T19:30:00Z","2016-03-16T20:00:00Z",,,,,,,,1,,,
"2016-03-16T20:00:00Z","2016-03-16T20:30:00Z",,,,,,,,1,,,
"2016-03-16T20:30:00Z","2016-03-16T21:00:00Z",,,,,,,,1,,,
"2016-03-16T21:00:00Z","2016-03-16T21:30:00Z",,,,,,,,1,,,
"2016-03-16T21:30:00Z","2016-03-16T22:00:00Z",,,,,,,,1,,,
"2016-03-16T22:00:00Z","2016-03-16T22:30:00Z",,,,,,,,1,,,
"2016-03-16T22:30:00Z","2016-03-16T23:00:00Z",,,,,,,,1,,,
"2016-03-16T23:00:00Z","2016-03-16T23:30:00Z",,,,,,,,1,,,
"2016-03-16T23:30:00Z","2016-03-17T00:00:00Z",,,,,,,,1,,,
"2016-03-17T00:00:00Z","2016-03-17T00:30:00Z",,,,,,,,1,,,
"2016-03-17T00:30:00Z","2016-03-17T01:00:00Z",,,,,,,,1,,,
"2016-03-17T01:00:00Z","2016-03-17T01:30:00Z",,,,,,,,1,,,
"2016-03-17T01:30:00Z","2016-03-17T02:00:00Z",,,,,,,,1,,,
"2016-03-17T02:00:00Z","2016-03-17T02:30:00Z",,,,,,,,1,,,
"2016-03-17T02:30:00Z","2016-03-17T03:00:00Z",,,,,,,,1,,,
"2016-03-17T03:00:00Z","2016-03-17T03:30:00Z",,,,,,,,1,,,
"2016-03-17T03:30:00Z","2016-03-17T04:00:00Z",,,,,,,,1,,,
"2016-03-17T04:00:00Z","2016-03-17T04:30:00Z",,,,,,,,1,,,
"2016-03-17T04:30:00Z","2016-03-17T05:00:00Z",,,,,,,,1,,,
"2016-03-17T05:00:00Z","2016-03-17T05:30:00Z",,,,,,,,1,,,
"2016-03-17T05:30:00Z","2016-03-17T06:00:00Z",,,,,,,,1,,,
"2016-03-17T06:00:00Z","2016-03-17T06:30:00Z",,,,,,,,1,,,
"2016-03-17T06:30:00Z","2016-03-17T07:00:00Z",,,,,,,,1,,,
"2016-03-17T07:00:00Z","2016-03-17T07:30:00Z",,,,,,,,1,,,
"2016-03-17T07:30:00Z","2016-03-17T08:00:00Z",,,,,,,,1,,,
"2016-03-17T08:00:00Z","2016-03-17T08:30:00Z",,,,,,,,1,,,
"2016-03-17T08:30:00Z","2016-03-17T09:00:00Z",,,,,,,,,,,
"2016-03-17T09:00:00Z","2016-03-17T09:30:00Z",,,,,,,,1,,,
"2016-03-17T09:30:00Z","2016-03-17T10:00:00Z",,,,,,,,1,,,
"2016-03-17T10:00:00Z","2016-03-17T10:30:00Z",,,,,,,,1,,,
"2016-03-17T10:30:00Z","2016-03-17T11:00:00Z",,,,,,,,1,,,
"2016-03-17T11:00:00Z","2016-03-17T11:30:00Z",,,,,,,,1,,,
"2016-03-17T11:30:00Z","2016-03-17T12:00:00Z",,,,,,,,1,,,
